"","�..CPC1.digit","CPC1.digit.name","CPC.2.digits","CPC.2.digit.name","CPC.3.digits","CPC.3.digit.name","CPC.4.digits","CPC4.digit.name","CPC5.digits","CPC5.digit.name"
"1","0","Agriculture, forestry and fishery products","01","Products of agriculture, horticulture and market gardening","011","Cereals","0111","Wheat","01111","Wheat, seed"
"2","0","Agriculture, forestry and fishery products","01","Products of agriculture, horticulture and market gardening","011","Cereals","0111","Wheat","01112","Wheat, other"
"4","0","Agriculture, forestry and fishery products","01","Products of agriculture, horticulture and market gardening","011","Cereals","0112","Maize (corn)","01121","Maize (corn), seed"
"5","0","Agriculture, forestry and fishery products","01","Products of agriculture, horticulture and market gardening","011","Cereals","0112","Maize (corn)","01122","Maize (corn), other"
"7","0","Agriculture, forestry and fishery products","01","Products of agriculture, horticulture and market gardening","011","Cereals","0113","Rice","01131","Rice, seed"
"8","0","Agriculture, forestry and fishery products","01","Products of agriculture, horticulture and market gardening","011","Cereals","0113","Rice","01132","Rice paddy, other (not husked)"
"10","0","Agriculture, forestry and fishery products","01","Products of agriculture, horticulture and market gardening","011","Cereals","0114","Sorghum","01141","Sorghum, seed"
"11","0","Agriculture, forestry and fishery products","01","Products of agriculture, horticulture and market gardening","011","Cereals","0114","Sorghum","01142","Sorghum, other"
"13","0","Agriculture, forestry and fishery products","01","Products of agriculture, horticulture and market gardening","011","Cereals","0115","Barley","01151","Barley, seed"
"14","0","Agriculture, forestry and fishery products","01","Products of agriculture, horticulture and market gardening","011","Cereals","0115","Barley","01152","Barley, other"
"16","0","Agriculture, forestry and fishery products","01","Products of agriculture, horticulture and market gardening","011","Cereals","0116","Rye","01161","Rye, seed"
"17","0","Agriculture, forestry and fishery products","01","Products of agriculture, horticulture and market gardening","011","Cereals","0116","Rye","01162","Rye, other"
"19","0","Agriculture, forestry and fishery products","01","Products of agriculture, horticulture and market gardening","011","Cereals","0117","Oats","01171","Oats, seed"
"20","0","Agriculture, forestry and fishery products","01","Products of agriculture, horticulture and market gardening","011","Cereals","0117","Oats","01172","Oats, other"
"22","0","Agriculture, forestry and fishery products","01","Products of agriculture, horticulture and market gardening","011","Cereals","0118","Millet","01181","Millet, seed"
"23","0","Agriculture, forestry and fishery products","01","Products of agriculture, horticulture and market gardening","011","Cereals","0118","Millet","01182","Millet, other"
"25","0","Agriculture, forestry and fishery products","01","Products of agriculture, horticulture and market gardening","011","Cereals","0119","Other cereals","01191","Triticale"
"26","0","Agriculture, forestry and fishery products","01","Products of agriculture, horticulture and market gardening","011","Cereals","0119","Other cereals","01192","Buckwheat"
"27","0","Agriculture, forestry and fishery products","01","Products of agriculture, horticulture and market gardening","011","Cereals","0119","Other cereals","01193","Fonio"
"28","0","Agriculture, forestry and fishery products","01","Products of agriculture, horticulture and market gardening","011","Cereals","0119","Other cereals","01194","Quinoa"
"29","0","Agriculture, forestry and fishery products","01","Products of agriculture, horticulture and market gardening","011","Cereals","0119","Other cereals","01195","Canary seed"
"30","0","Agriculture, forestry and fishery products","01","Products of agriculture, horticulture and market gardening","011","Cereals","0119","Other cereals","01199","Other cereals n.e.c."
"33","0","Agriculture, forestry and fishery products","01","Products of agriculture, horticulture and market gardening","012","Vegetables","0121","Leafy or stem vegetables","01211","Asparagus"
"34","0","Agriculture, forestry and fishery products","01","Products of agriculture, horticulture and market gardening","012","Vegetables","0121","Leafy or stem vegetables","01212","Cabbages"
